game_id,season,week,play_id,game_play_number,sequence_number,period,clock_minutes,clock_seconds,pos_team_id,home_team_id,away_team_id,home_score_start,away_score_start,yards_to_endzone_start,play_type,orig_play_type,status_completed
401864494,2026,1,401864494569,121,119,4,14,56,23,30,23,35,3,28,Passing Touchdown,Passing Touchdown,true
401864494,2026,1,401864494581,122,121,4,14,56,30,30,23,35,11,65,Kickoff,Kickoff,true
401864494,2026,1,401864494584,123,122,4,14,47,30,30,23,35,11,75,Pass Reception,Pass Reception,true
401864494,2026,1,401864494589,124,123,4,14,17,30,30,23,35,11,71,Pass Reception,Pass Reception,true
401864494,2026,1,401864494594,125,124,4,13,37,30,30,23,35,11,66,Rush,Rush,true
401864494,2026,1,401864494599,126,125,4,12,59,30,30,23,35,11,64,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494602,127,126,4,12,48,30,30,23,35,11,64,Rush,Rush,true
401864494,2026,1,401864494606,128,127,4,12,17,30,30,23,35,11,55,Rush,Rush,true
401864494,2026,1,401864494610,129,128,4,11,36,30,30,23,35,11,40,Pass Reception,Pass Reception,true
401864494,2026,1,401864494615,130,129,4,10,53,30,30,23,35,11,22,Pass Reception,Pass Reception,true
401864494,2026,1,401864494620,131,130,4,10,21,30,30,23,35,11,2,Rush,Rush,true
401864494,2026,1,401864494624,132,131,4,9,42,30,30,23,35,11,1,Rushing Touchdown,Rushing Touchdown,true
401864494,2026,1,401864494631,133,133,4,9,42,23,30,23,42,11,65,Kickoff,Kickoff,true
401864494,2026,1,401864494634,134,134,4,9,37,23,30,23,42,11,75,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494637,135,135,4,9,29,23,30,23,42,11,75,Pass Reception,Pass Reception,true
401864494,2026,1,401864494642,136,136,4,9,9,23,30,23,42,11,65,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494645,137,137,4,9,2,23,30,23,42,11,65,Rush,Rush,true
401864494,2026,1,401864494649,138,138,4,8,28,23,30,23,42,11,62,Rush,Rush,true
401864494,2026,1,401864494653,139,139,4,7,44,23,30,23,42,11,53,Sack,Sack,true
401864494,2026,1,401864494658,140,140,4,7,3,23,30,23,42,11,54,Pass Incompletion,Pass Incompletion,true
401864494,2026,1,401864494661,141,141,4,6,54,23,30,23,42,11,54,Rush,Rush,true
401864494,2026,1,401864494665,142,142,4,6,3,23,30,23,42,11,30,Pass Reception,Pass Reception,true
401864494,2026,1,401864494667,143,141,4,6,13,23,30,23,42,11,54,Timeout,Timeout,true
401864494,2026,1,401864494671,144,143,4,5,36,23,30,23,42,11,9,Rush,Rush,true
401864494,2026,1,401864494676,145,144,4,5,11,23,30,23,42,11,3,Passing Touchdown,Pass Reception,true
401864494,2026,1,401864494685,146,146,4,5,5,30,30,23,42,18,65,Kickoff,Kickoff,true
401864494,2026,1,401864494690,147,147,4,5,0,30,30,23,42,18,79,Rush,Rush,true
401864494,2026,1,401864494694,148,148,4,4,29,30,30,23,42,18,71,Rush,Rush,true
401864494,2026,1,401864494698,149,149,4,3,57,30,30,23,42,18,71,Rush,Rush,true
401864494,2026,1,401864494702,150,150,4,3,20,30,30,23,42,18,64,Sack,Sack,true
401864494,2026,1,401864494706,151,151,4,3,10,30,30,23,42,18,70,Pass Reception,Pass Reception,true
401864494,2026,1,401864494708,152,150,4,3,20,23,30,23,42,18,36,Timeout,Timeout,true
401864494,2026,1,401864494712,153,152,4,2,33,30,30,23,42,18,62,Interception Return,Pass Interception Return,true
401864494,2026,1,401864494714,154,151,4,2,33,30,30,23,42,18,70,Timeout,Timeout,true
401864494,2026,1,401864494720,155,153,4,2,16,23,30,23,42,18,35,Pass Reception,Pass Reception,true
401864494,2026,1,401864494725,156,154,4,2,0,23,30,23,42,18,22,Penalty,Penalty,true
401864494,2026,1,401864494727,157,153,4,2,0,23,30,23,42,18,35,Timeout,Timeout,true
